Titre;Réalisateur;Date de sortie;Synopsis;Note Presse;Note Spectateurs;Score Recommandation;Amazon Prime Video;Canal VOD;Canal+;Disney+;Netflix;OCS;Paramount+;URL
Kung Fu Panda;Mark Osborne;9 juillet 2008;Passionné, costaud et quelque peu maladroit, Po est sans conteste le plus grand fan de kung fu. Serveur dans le restaurant de nouilles de son père, son habileté reste encore à prouver.Elu pour accomplir une ancienne prophétie, Po rejoint le monde du kung fu afin d'apprendre les arts martiaux auprès de ses idoles, les légendaires Cinq Cyclones : Tigresse, Grue, Mante, Vipère et Singe, sous les ordres de leur professeur et entraîneur, Maître Shifu.Mais Taï Lung, le léopard des neiges fourbe et animé d'un désir de vengeance, approche à grands pas, et c'est Po qui sera chargé de défendre la vallée face à cette menace grandissante.;3.5;3.9;59;X;X;;;X;;;https://www.allocine.fr/film/fichefilm_gen_cfilm=45889.html
Wallace et Gromit : La palme de la vengeance;Nick Park;3 janvier 2025;Gromit s'inquiète du fait que Wallace soit devenu trop dépendant de ses inventions, après sa création d'un gnome intelligent...;4.1;4.0;63;;;;;X;;;https://www.allocine.fr/film/fichefilm_gen_cfilm=300228.html
BlacKkKlansman - J'ai infiltré le Ku Klux Klan;Spike Lee;22 août 2018;"Au début des années 70, au plus fort de la lutte pour les droits civiques, plusieurs émeutes raciales éclatent dans les grandes villes des États-Unis. Ron Stallworth devient le premier officier Noir américain du Colorado Springs Police Department, mais son arrivée est accueillie avec scepticisme, voire avec une franche hostilité, par les agents les moins gradés du commissariat. Prenant son courage à deux mains, Stallworth va tenter de faire bouger les lignes et, peut-être, de laisser une trace dans l'histoire. Il se fixe alors une mission des plus périlleuses : infiltrer le Ku Klux Klan pour en dénoncer les exactions.En se faisant passer pour un extrémiste, Stallworth contacte le groupuscule : il ne tarde pas à se voir convier d'en intégrer la garde rapprochée. Il entretient même un rapport privilégié avec le ""Grand Wizard"" du Klan, David Duke, enchanté par l'engagement de Ron en faveur d'une Amérique blanche. Tandis que l'enquête progresse et devient de plus en plus complexe, Flip Zimmerman, collègue de Stallworth, se fait passer pour Ron lors des rendez-vous avec les membres du groupe suprémaciste et apprend ainsi qu'une opération meurtrière se prépare. Ensemble, Stallworth et Zimmerman font équipe pour neutraliser le Klan dont le véritable objectif est d'aseptiser son discours ultra-violent pour séduire ainsi le plus grand nombre.";3.7;4.0;55;X;X;;;;;;https://www.allocine.fr/film/fichefilm_gen_cfilm=258805.html
Le Dernier des Mohicans;Michael Mann;26 août 1992;1757. Troisième année de guerre entre la France et l’Angleterre. Trois hommes. Les derniers d’un peuple en extinction, à la frontière de l’Hudson.;4.0;--;63;;;;;X;;;https://www.allocine.fr/film/fichefilm_gen_cfilm=7653.html
Mickey 17;Bong Joon Ho;5 mars 2025;Héros malgré lui, Mickey Barnes se tue à la tâche… littéralement ! Car c’est ce qu’exige de lui son entreprise : mourir régulièrement pour gagner sa vie.;3.6;3.6;38;;;;;;;;https://www.allocine.fr/film/fichefilm_gen_cfilm=300207.html
Vivre;Akira Kurosawa;31 août 1966;Atteint d'un cancer, Watanabe, chef de service du génie civil, décide de réaliser le projet qu'il avait tout d'abord repoussé, celui d'assainir un terrain vague du quartier de Hureocho pour que les enfants puissent jouer dans un véritable jardin.;4.4;--;72;;X;;;;;;https://www.allocine.fr/film/fichefilm_gen_cfilm=4471.html
Starship Troopers;Paul Verhoeven;21 janvier 1998;Au XXIVe siècle, une fédération musclée fait régner sur la Terre l'ordre et la vertu, exhortant sans relâche la jeunesse à la lutte, au devoir, à l'abnégation et au sacrifice de soi. Mais aux confins de la galaxie, une armée d'arachnides se dresse contre l'espèce humaine et ces insectes géants rasent en quelques secondes la ville de Buenos-Aires. Cinq jeunes gens, cinq volontaires à peine sortis du lycée, pleins d'ardeurs et de courage, partent en mission dans l'espace pour combattre les envahisseurs. Ils sont loin de se douter de ce qui les attend.;3.2;3.8;46;;;;X;;;;https://www.allocine.fr/film/fichefilm_gen_cfilm=4987.html
Before Midnight;Richard Linklater;26 juin 2013;Une île grecque, une villa magnifique, en plein mois d’août. Céline, son mari Jesse et leurs deux filles passent leurs vacances chez des amis. On se promène, on partage des repas arrosés, on refait le monde. La veille du retour à Paris, surprise : les amis offrent au couple une nuit dans un hôtel de charme, sans les enfants. Les conditions sont idylliques mais les vieilles rancoeurs remontent à la surface et la soirée en amoureux tourne vite au règlement de comptes. Céline et Jesse seront-ils encore ensemble le matin de leur départ ?;3.4;3.6;43;;X;;;;;;https://www.allocine.fr/film/fichefilm_gen_cfilm=208883.html
Empire Of Light;Sam Mendes;1 mars 2023;Hilary est responsable d’un cinéma dans une ville balnéaire anglaise et tente de préserver sa santé mentale fragile. Stephen est un nouvel employé qui n’aspire qu’à quitter cette petite ville de province où chaque jour peut vite se transformer en épreuve. En se rapprochant l’un de l’autre, ils vont apprendre à soigner leurs blessures grâce à la musique, au cinéma et au sentiment d’appartenance à un groupe...;3.6;4.0;59;;;;X;;;;https://www.allocine.fr/film/fichefilm_gen_cfilm=291817.html
Le Samouraï;Jean-Pierre Melville;25 octobre 1967;Jef Costello, dit le Samouraï est un tueur à gages. Alors qu'il sort du bureau où git le cadavre de Martey, sa dernière cible, il croise la pianiste du club, Valérie. En dépit d'un bon alibi, il est suspecté du meurtre par le commissaire chargé de l'enquête. Lorsqu'elle est interrogée par celui-ci, la pianiste feint ne pas le reconnaître. Relâché, Jeff cherche à comprendre la raison pour laquelle la jeune femme a agi de la sorte.;3.9;--;55;;X;;;X;;;https://www.allocine.fr/film/fichefilm_gen_cfilm=4924.html
Section spéciale;Costa-Gavras;23 avril 1975;1941. Suite à l'assassinat d'un officier allemand par un jeune militant communiste, Pierre Pucheu, le ministre de l'Intérieur auquel les pleins pouvoirs viennent d'être attribués, tente de faire voter une loi d'exception pour juger six autres militants...;4.0;--;74;;X;;;X;;;https://www.allocine.fr/film/fichefilm_gen_cfilm=34266.html
21 grammes;Alejandro González Iñárritu;21 janvier 2004;On dit que nous perdons tous 21 grammes au moment précis de notre mort...Le poids de cinq pièces de monnaie.Le poids d'une barre de chocolat.Le poids d'un colibri.21 grammes.Est-ce le poids de notre âme ?Est-ce le poids de la vie ?Paul attend une transplantation cardiaque. Cristina, ex-junkie, est mère de deux petites filles. Jack sort de prison et redécouvre la foi.A cause d'un accident, ils vont s'affronter, se haïr... et s'aimer.;4.1;4.0;54;X;X;;;;;;https://www.allocine.fr/film/fichefilm_gen_cfilm=47795.html
Gladiator;Ridley Scott;20 juin 2000;Le général romain Maximus est le plus fidèle soutien de l'empereur Marc Aurèle, qu'il a conduit de victoire en victoire avec une bravoure et un dévouement exemplaires. Jaloux du prestige de Maximus, et plus encore de l'amour que lui voue l'empereur, le fils de MarcAurèle, Commode, s'arroge brutalement le pouvoir, puis ordonne l'arrestation du général et son exécution. Maximus échappe à ses assassins mais ne peut empêcher le massacre de sa famille. Capturé par un marchand d'esclaves, il devient gladiateur et prépare sa vengeance.;4.3;4.5;69;X;;;;X;;;https://www.allocine.fr/film/fichefilm_gen_cfilm=24944.html
Le Robot Sauvage;Chris Sanders;9 octobre 2024;Le Robot Sauvage suit l’incroyable épopée d'un robot – l'unité ROZZUM 7134 alias “Roz” – qui après avoir fait naufrage sur une île déserte doit apprendre à s'adapter à un environnement hostile en nouant petit à petit des relations avec les animaux de l'île. Elle finit par adopter le petit d’une oie, un oison, qui se retrouve orphelin.;3.8;4.4;70;;X;X;;;;;https://www.allocine.fr/film/fichefilm_gen_cfilm=268384.html
Highlander;Russell Mulcahy;26 mars 1986;Connor Macleod est un immortel. Il traverse les Ages depuis son Ecosse de 1536, multipliant les rencontres, les expériences et les combats...Car depuis plus de 400 ans Macleod affronte dans des luttes sans merci d'autres immortels pour remporter Le Prix. Le seul moyen de le tuer est de leur trancher la tête et c'est ce qu'il s'évertue à faire depuis des siècles tout comme son ennemi juré : le Kurgan. Un guerrier sadique ayant tué la majorité des immortels.C'est dans le New York de 1986 que Macleod prépare le combat ultime qui fera de lui le dernier des immortels. Il ne peut en rester qu'un.;3.4;--;52;;X;;;;X;;https://www.allocine.fr/film/fichefilm_gen_cfilm=29586.html
Le Cas Richard Jewell;Clint Eastwood;19 février 2020;En 1996, Richard Jewell fait partie de l'équipe chargée de la sécurité des Jeux d'Atlanta. Il est l'un des premiers à alerter de la présence d'une bombe et à sauver des vies. Mais il se retrouve bientôt suspecté... de terrorisme, passant du statut de héros à celui d'homme le plus détesté des Etats-Unis. Il fut innocenté trois mois plus tard par le FBI mais sa réputation ne fut jamais complètement rétablie, sa santé étant endommagée par l'expérience.;4.0;4.1;66;;X;;;;;;https://www.allocine.fr/film/fichefilm_gen_cfilm=226927.html
Sur la route de Madison;Clint Eastwood;6 septembre 1995;Michael Johnson et sa soeur Caroline reviennent dans la ferme de leur enfance régler la succession de leur mère, Francesca. Ils vont découvrir tout un pan de la vie de leur mère ignoré de tous, sa brève, intense et inoubliable liaison avec un photographe de passage.;4.6;4.3;76;;X;;;;;;https://www.allocine.fr/film/fichefilm_gen_cfilm=12994.html
L'Inspecteur Harry;Don Siegel;16 février 1972;Si la police de San Francisco ne remet pas immédiatement 200 000 dollars à un homme qui vient de commettre un crime, il recommencera au rythme d'un assassinat par jour. L'inspecteur Harry Callahan est sur ses talons.;3.9;--;61;;X;;;;;;https://www.allocine.fr/film/fichefilm_gen_cfilm=381.html
Bird;Clint Eastwood;1 juin 1988;"Bird est une interprétation cinématographique de la vie de Charlie ""Yardbird"" Parker, jazzman visionnaire et musicien accompli qui éleva le saxophone à un niveau d'expression inédit. Le film dépeint alternativement la jeunesse et la maturité de cet homme et de ce créateur de génie, sa carrière et ses drames personnels.Charlie Parker fut une énigme. La puissance et la beauté de son style firent de lui un précurseur, mais sa vie privée fut un enfer. Ce film tente d'éclairer le penchant de Parker pour la drogue, l'alcool et les femmes, de comprendre la nature de sa passion pour Chan Richardson, la complexité de sa vision et, surtout, sa musique.";4.0;3.9;65;;X;;;;;;https://www.allocine.fr/film/fichefilm_gen_cfilm=3669.html
The Apprentice;Ali Abbasi;9 octobre 2024;Véritable plongée dans les arcanes de l'empire américain, The Apprentice retrace l'ascension vers le pouvoir du jeune Donald Trump grâce à un pacte faustien avec l'avocat conservateur et entremetteur politique Roy Cohn.;3.6;3.9;54;;X;;;;;;https://www.allocine.fr/film/fichefilm_gen_cfilm=324170.html
Deadpool 2;David Leitch;16 mai 2018;L’insolent mercenaire de Marvel remet le masque !Plus grand, plus-mieux, et occasionnellement les fesses à l’air, il devra affronter un Super-Soldat dressé pour tuer, repenser l’amitié, la famille, et ce que signifie l’héroïsme – tout en bottant cinquante nuances de culs, car comme chacun sait, pour faire le Bien, il faut parfois se salir les doigts.;3.1;3.8;38;;;;X;;;;https://www.allocine.fr/film/fichefilm_gen_cfilm=245006.html
Time Out;Andrew Niccol;23 novembre 2011;"Bienvenue dans un monde où le temps a remplacé l'argent. Génétiquement modifiés, les hommes ne vieillissent plus après 25 ans. Mais à partir de cet âge, il faut ""gagner"" du temps pour rester en vie. Alors que les riches, jeunes et beaux pour l’éternité, accumulent le temps par dizaines d'années, les autres mendient, volent et empruntent les quelques heures qui leur permettront d'échapper à la mort. Un homme, accusé à tort de meurtre, prend la fuite avec une otage qui deviendra son alliée. Plus que jamais, chaque minute compte.";2.7;3.5;51;X;;;;;;;https://www.allocine.fr/film/fichefilm_gen_cfilm=180314.html
John Wick;David Leitch;29 octobre 2014;Depuis la mort de sa femme bien-aimée, John Wick passe ses journées à retaper sa Ford Mustang de 1969, avec pour seule compagnie sa chienne Daisy. Il mène une vie sans histoire, jusqu’à ce qu’un malfrat sadique nommé Iosef Tarasof remarque sa voiture. John refuse de la lui vendre. Iosef n’acceptant pas qu’on lui résiste, s’introduit chez John avec deux complices pour voler la Mustang, et tuer sauvagement Daisy…John remonte la piste de Iosef jusqu’à New York. Un ancien contact, Aurelio, lui apprend que le malfrat est le fils unique d’un grand patron de la pègre, Viggo Tarasof. La rumeur se répand rapidement dans le milieu : le légendaire tueur cherche Iosef. Viggo met à prix la tête de John : quiconque l’abattra touchera une énorme récompense. John a désormais tous les assassins de New York aux trousses.;2.9;3.7;43;X;X;;;;;;https://www.allocine.fr/film/fichefilm_gen_cfilm=221387.html
